palabra_A,palabra_B,vector_inicial_hash,trayectoria,palabra_final_mas_cercana,distancia_geometrica,tipo_resultado
coheredaseis,cacarean,6cfc7494,6cfc7494..cfe72a12,encontraste,1.3538,nuevo_atractor
coquizarian,glotis,27a5c776,27a5c776..d7f3855f,abancalares,0.7355,nuevo_atractor
despidan,rondines,a5b0813b,a5b0813b..0333d224,fatalicemos,1.6803,nuevo_atractor
amachetease,abatas,5833e07d,5833e07d..5a375078,tatuaron,0.6628,nuevo_atractor
algareadoras,cañoneemos,3d91854d,3d91854d..58d3995b,reenviais,1.1720,nuevo_atractor
marraras,atorariamos,5c188584,5c188584..40d5bf76,jabalonada,1.3410,nuevo_atractor
retornarais,morfofonologica,37be41fc,37be41fc..8a0df8a5,niquelados,0.6076,nuevo_atractor
afirmadora,perdiceras,ec3e48ee,ec3e48ee..62e3ccb2,forje,1.2300,nuevo_atractor
ponderadoras,puposas,0f9a4d15,0f9a4d15..c2b73ec1,abarrancaras,0.6559,nuevo_atractor
grupusculares,tosere,31c3426e,31c3426e..f19b8c87,orifiques,1.7523,nuevo_atractor
substrajereis,asaeteariamos,f073ca5b,f073ca5b..ed255d78,champurreabamos,0.5854,nuevo_atractor
enclocara,desconforme,d606cc82,d606cc82..4c9436fc,sultanicas,0.6594,nuevo_atractor
churuncullo,implementar,32262d86,32262d86..7414fbd7,destusaba,0.7612,nuevo_atractor
verdeci,brezales,001d29d6,001d29d6..fd3a0f80,esdrujulizada,1.0963,nuevo_atractor
desasociasen,pambaceamos,6dc36954,6dc36954..5691ce14,trociscasen,0.6001,nuevo_atractor
herbola,fabril,57dc7e36,57dc7e36..a4511fa7,desarbolaba,1.3019,nuevo_atractor
tapineabais,quilombeasemos,d57328ea,d57328ea..b7d6411a,amezquindasemos,1.0031,nuevo_atractor
zahoris,diferenciacion,9745755b,9745755b..b209ee71,balastaras,0.9616,nuevo_atractor
cercado,depravares,5dbde45f,5dbde45f..d9dd3d75,palatinos,1.0402,nuevo_atractor
tarjeteabas,fulgieron,b5855e35,b5855e35..55c09e32,laringoscopias,1.8137,nuevo_atractor
tarascabas,albahacas,5de59214,5de59214..698e3de6,fumiferas,2.1864,nuevo_atractor
lideraseis,desbolasen,049fd73f,049fd73f..ecf942ce,tronando,1.5893,nuevo_atractor
bazuquee,embanderaba,8a8b6c1a,8a8b6c1a..05a813d0,supresiones,0.8046,nuevo_atractor
decubitos,desviejadas,716990e0,716990e0..7eaa1a46,infartaren,1.5882,nuevo_atractor
tucupiteña,liofilizando,0029a195,0029a195..3c33e4d0,decelerabamos,1.7666,nuevo_atractor
engrapais,empanizais,08c75f8a,08c75f8a..2dec6764,encunetaban,1.5837,nuevo_atractor
adobos,cubilemos,2da505e6,2da505e6..9307c32b,empaquen,1.4675,nuevo_atractor
fresados,enconariais,953c2485,953c2485..56eb4a49,sesgais,1.1839,nuevo_atractor
improbables,ronceareis,c1d424ec,c1d424ec..f5287a86,anticatodo,2.0405,nuevo_atractor
degradados,viticultores,7bc96cba,7bc96cba..4457aedc,hidrargiros,1.0810,nuevo_atractor
desamen,encuartelado,f5bee703,f5bee703..a901a926,enconreasen,0.8034,nuevo_atractor
bronceen,enclavijareis,18b1c8fb,18b1c8fb..85b3baae,botaneares,1.2547,nuevo_atractor
desengañilamos,zurdidas,7296e1bd,7296e1bd..16ae8de6,guajes,0.8639,nuevo_atractor
mahometica,refriarias,d97be8c5,d97be8c5..bd7f3889,guasabeaste,0.6674,nuevo_atractor
mariaches,carterearias,294cd01b,294cd01b..c8c4aece,rastrojaba,0.9091,nuevo_atractor
desborraba,descriarian,442a9fa2,442a9fa2..6ee4e498,mujereabas,1.1185,nuevo_atractor
recavase,nesquiso,3bef9eaa,3bef9eaa..a8b9a794,conexionare,0.7097,nuevo_atractor
sancocharemos,hibridaremos,23cf5c14,23cf5c14..ed38feee,engarrafabamos,1.5478,nuevo_atractor
soportare,alibriestarias,728a19c3,728a19c3..6e8723da,enastadas,0.7641,nuevo_atractor
gaucheas,horrorizasteis,9b464fb0,9b464fb0..b0d9029a,temera,0.6936,nuevo_atractor
chirrie,rodrigabamos,79406a16,79406a16..6b2ee85b,enlozara,0.6030,nuevo_atractor
requintamos,confabulaseis,e1e6b2e9,e1e6b2e9..9e1d4a27,arepitas,1.5765,nuevo_atractor
luxara,depauperas,e5901502,e5901502..3dcef95b,deszocare,0.9676,nuevo_atractor
detallaramos,achuncharen,bed8b8f6,bed8b8f6..8bbfa447,relinchasemos,1.2158,nuevo_atractor
borboritaban,mancabais,8368dd4a,8368dd4a..fad84540,entronerarian,1.0502,nuevo_atractor
confinio,bancarizando,48d2155f,48d2155f..4ad84efb,sucos,0.7869,nuevo_atractor
azonzases,cristianizarias,0af29ebc,0af29ebc..20cbfd3a,pizcasemos,1.1950,nuevo_atractor
preconocidas,inflare,34101c8b,34101c8b..ef1ef468,sancionadas,0.7541,nuevo_atractor
secais,entoñaran,62cd3c15,62cd3c15..e3d66c5f,diptongada,0.3491,nuevo_atractor
salmodiarian,generativas,bfddd227,bfddd227..824f3d13,deszocare,1.4993,nuevo_atractor
entacuchaste,camarues,4202974d,4202974d..5aadfd58,habrias,0.5280,nuevo_atractor
endona,vaguean,551159cb,551159cb..b944ca50,agalerados,0.7822,nuevo_atractor
bastimentariais,espaturrasteis,c120eeac,c120eeac..29d262d8,dataramos,0.5513,nuevo_atractor
enmares,regionalizaba,aa526d40,aa526d40..5b448c73,reprehendeis,0.9177,nuevo_atractor
azagadero,endamaseis,da58fb7b,da58fb7b..61c87ca9,rochelees,0.8639,nuevo_atractor
descompaginaba,enzurronas,ab6397ef,ab6397ef..7d6aa0ab,desarraigueis,0.8006,nuevo_atractor
marquesas,canonizara,e4f90a96,e4f90a96..ae024681,desarraigueis,0.6409,nuevo_atractor
perfundieron,encalad,ff423e3a,ff423e3a..45e00dcd,rescoldarias,1.2430,nuevo_atractor
hidraulicas,debatimos,a8409a2f,a8409a2f..4137619e,trocas,1.2041,nuevo_atractor
sabihonda,lancurdias,50231fad,50231fad..5dd2818e,fungieres,1.0197,nuevo_atractor
descerrajare,calabaceo,34a6df1f,34a6df1f..1af49abc,sobrevivais,1.1996,nuevo_atractor
academizaria,encalamocar,05834967,05834967..34d158a1,toalleros,0.8401,nuevo_atractor
afligisteis,desraizaria,d3731f14,d3731f14..accfe42e,alismas,1.2603,nuevo_atractor
inflares,estructural,b1c5c6ea,b1c5c6ea..4f64c664,ejercitado,1.5030,nuevo_atractor
incomplejas,callecalles,8bce39af,8bce39af..5e7e433c,confiabilidad,1.3447,nuevo_atractor
atripedos,enviscando,d1609958,d1609958..f9081b33,sigilares,1.7831,nuevo_atractor
adundabamos,enchancheis,85505f4b,85505f4b..8cda1ff8,escuadronare,1.5937,nuevo_atractor
rechiflais,tosigados,17acdf32,17acdf32..1219715e,balastaras,0.7895,nuevo_atractor
escoña,pechearen,8a182583,8a182583..cd900c1f,tonteares,1.4939,nuevo_atractor
comprendas,lagrimeara,23e07146,23e07146..8bbd3c1c,manejarian,0.6849,nuevo_atractor
recaucharon,existiese,05c60f22,05c60f22..0e5dc90d,secad,0.9130,nuevo_atractor
inyecten,presagioso,eaafa156,eaafa156..ec705d14,botaneares,1.1359,nuevo_atractor
generara,enhuecaria,4df9fae9,4df9fae9..05b26874,descrecerias,1.5880,nuevo_atractor
timbrarias,retocaria,9bcb98ca,9bcb98ca..e7cd720b,irrespeto,0.4651,nuevo_atractor
preservare,repesariamos,209b12cc,209b12cc..a9cbd676,refractaramos,1.1611,nuevo_atractor
desvergonzado,destornillasteis,19717c66,19717c66..09e1699a,relinchasemos,1.2964,nuevo_atractor
descuadrasemos,carenaramos,393051bb,393051bb..eee967da,coyundadas,1.6685,nuevo_atractor
ejecutoriara,compagines,de712e53,de712e53..5cf1e965,encunetaban,0.8130,nuevo_atractor
barberas,diagramen,1a787f47,1a787f47..62a9a848,amanaria,2.3972,nuevo_atractor
encamarase,acogote,10af95cb,10af95cb..335b2233,encaballando,0.8190,nuevo_atractor
exclames,sobreseeis,fda08d9c,fda08d9c..b3ce1666,friccionare,1.3890,nuevo_atractor
sotobosque,descodificadas,e6ed0030,e6ed0030..b91a10ad,aconteceres,0.7887,nuevo_atractor
embroquelariais,soasasen,bbff49b8,bbff49b8..f2bf8cbf,aguachabas,0.6832,nuevo_atractor
densificaren,alachas,9a7c688b,9a7c688b..7bb257ef,escuadronare,0.6451,nuevo_atractor
pegamiento,arrequintada,419bf22c,419bf22c..28e3db5c,pizcasemos,1.2743,nuevo_atractor
perdonaras,disputando,ce918532,ce918532..675662b5,desarbolaba,1.2950,nuevo_atractor
descaminemos,competentemente,196ce85f,196ce85f..29174188,acentuarais,2.0517,nuevo_atractor
enramblasemos,caldeamos,df5b640f,df5b640f..10e153b8,epitomadora,1.1396,nuevo_atractor
costumbre,acholasen,870d15a4,870d15a4..244cf5be,enmarabamos,0.6510,nuevo_atractor
ribaceras,despaldado,5eb27612,5eb27612..f5043f2e,reconfortases,0.5553,nuevo_atractor
ladroneado,puericias,b06d07c6,b06d07c6..be4dc799,sobijasemos,0.6181,nuevo_atractor
almogavarias,engollipariamos,f5adedbf,f5adedbf..731a0226,acentuarais,0.7908,nuevo_atractor
envirotada,chapase,83db2e3f,83db2e3f..08db05b7,chismoseare,1.8904,nuevo_atractor
encime,herbecieras,add39274,add39274..d29d798d,eucariotas,0.9631,nuevo_atractor
tropezaria,corporizara,664de963,664de963..5f97edb7,manqueen,1.0928,nuevo_atractor
merquen,repollan,4f45e5bc,4f45e5bc..11301c26,faltase,0.8668,nuevo_atractor
acanallen,sibilinas,8066b441,8066b441..8722b0d6,epitomadora,0.9371,nuevo_atractor
enrazases,sucumbieren,482fde67,482fde67..21a81a8c,escobos,1.4843,nuevo_atractor
devanaren,atal,d0134135,d0134135..25c7ad29,consejera,1.8971,nuevo_atractor
majadereados,legro,81311131,81311131..610532fc,gencianaceo,1.3924,nuevo_atractor
mesones,arreglaran,425c5d51,425c5d51..4b465918,sobrevivais,0.9828,nuevo_atractor
poladas,cromaron,3baf8b2e,3baf8b2e..35217ce0,rastrojaba,1.2837,nuevo_atractor
atarragaran,entongado,4dbdd856,4dbdd856..cf04e2a6,aguachabas,0.7667,nuevo_atractor
sofrieran,despeñadizas,919d8620,919d8620..884298e3,senderes,0.7154,nuevo_atractor
empalme,efectividad,be719dd4,be719dd4..715a9c8f,promano,1.2331,nuevo_atractor
epicentros,dilucidado,90c62810,90c62810..82bd24a4,arreciad,0.9706,nuevo_atractor
esparrancasemos,corchase,d9344d7d,d9344d7d..959f985d,atauques,0.8089,nuevo_atractor
entenebrezcan,martillaren,9bb1edb2,9bb1edb2..d01b98fc,quijotadas,1.4104,nuevo_atractor
troceamos,pronunciado,41ef9c27,41ef9c27..ad8f9804,oxoniense,1.9838,nuevo_atractor
lateralizasemos,canonizan,ac068e5a,ac068e5a..cd42a2fc,asareasemos,1.3964,nuevo_atractor
bausan,adiasen,5883f34b,5883f34b..d4a9c61b,trocas,2.3497,nuevo_atractor
negrete,achancabais,81483fc1,81483fc1..61878bf6,americaniza,1.0374,nuevo_atractor
amonal,devaluais,5880f73a,5880f73a..33251cf4,locos,0.6838,nuevo_atractor
desbullaron,capturaran,a0f7a7ca,a0f7a7ca..7fa1a084,irrespeto,0.5700,nuevo_atractor
chanfleariamos,cuzcatleca,21497c3d,21497c3d..f06c05de,denigres,0.9352,nuevo_atractor
vosotras,sintomatologia,b5c2bc12,b5c2bc12..0c01a779,chismoseare,1.0661,nuevo_atractor
flejadas,mecatera,74ebaf9c,74ebaf9c..45a9096d,desbasta,0.6722,nuevo_atractor
ahocinases,escalivais,c3595538,c3595538..9bc4d548,surtidero,0.9032,nuevo_atractor
premuniera,epicurea,783fb173,783fb173..467b3df1,celemineaseis,1.3245,nuevo_atractor
zocolamos,esquito,55676d57,55676d57..c8609dbd,celemineaseis,0.7651,nuevo_atractor
intrigaron,rebuscaria,681d0ac3,681d0ac3..cd5025dd,tejedura,0.7810,nuevo_atractor
pirganos,entesare,972fe112,972fe112..6bf6dbc6,asabais,1.1838,nuevo_atractor
embarbilladas,falseadoras,ab86d39c,ab86d39c..0fbacdbe,cutusa,0.5949,nuevo_atractor
renunciasen,sobresolado,467d9da3,467d9da3..356e0e77,puristas,1.0012,nuevo_atractor
embabucados,cloros,412f2762,412f2762..1579aed9,acensemos,0.7408,nuevo_atractor
acorrucaran,yezgo,2c272e67,2c272e67..4d8fca45,puparemos,0.4706,nuevo_atractor
juego,emparenta,c9cb7f7c,c9cb7f7c..df39b386,balastaras,1.0806,nuevo_atractor
sugestionasemos,resteaban,2965efa4,2965efa4..1c89b754,anticatodo,1.9227,nuevo_atractor
nixquearan,porosidad,33555da1,33555da1..7f3ba6e6,atarrajan,0.7877,nuevo_atractor
guariamos,morderiamos,46e7043e,46e7043e..fe6d3ec9,atendedora,0.7928,nuevo_atractor
embelesase,falluquearan,eb595e78,eb595e78..5350a61e,empedasemos,0.7224,nuevo_atractor
abrazaderas,fileteemos,1a00a1fb,1a00a1fb..85904729,latiguead,0.4645,nuevo_atractor
envainaremos,revestir,6978fecb,6978fecb..f9e70cbf,supresiones,0.9145,nuevo_atractor
desasentad,deshilvanaba,93421d75,93421d75..da47be22,temera,1.7010,nuevo_atractor
enlagunaste,sotaneabamos,82d708fe,82d708fe..77705b10,puristas,1.1045,nuevo_atractor
penadamente,aculturacion,fb16423d,fb16423d..00037745,faltase,0.9631,nuevo_atractor
sofiones,acetificaria,89bce276,89bce276..ce11ca44,biznagales,0.7537,nuevo_atractor
destetases,trasegadoras,0d40f2aa,0d40f2aa..cd70cd5b,mordaceara,1.0828,nuevo_atractor
bribar,atocinariamos,cc171fb5,cc171fb5..1e54a271,desarraigueis,0.8828,nuevo_atractor
automatizariais,latineaban,ce620fdf,ce620fdf..08d22f57,rascabuchearian,0.7032,nuevo_atractor
candidateada,enfrascados,083de133,083de133..bedd6e1f,reprehendeis,0.8910,nuevo_atractor
carnudas,intensivamente,a5bf160b,a5bf160b..645617bc,deslastrabais,1.5792,nuevo_atractor
miccionan,querelladoras,f7f22914,f7f22914..7e1a54b6,sancionadas,0.9157,nuevo_atractor
miniaturizo,ordeñador,1b871c37,1b871c37..a48c8de4,laringoscopias,0.7919,nuevo_atractor
gazne,cinchareis,c5f88117,c5f88117..69c4d1ff,pronunciacion,0.6076,nuevo_atractor
recreando,apapachabamos,ba8521b0,ba8521b0..f61921a7,secad,0.5732,nuevo_atractor
reconstituid,abrazarais,8f375fc6,8f375fc6..ad8863ba,epitomadora,0.7238,nuevo_atractor
preludiais,yeguero,3c9849a0,3c9849a0..199506ba,esdrujulizada,0.5755,nuevo_atractor
adjetivado,atairan,943d62b7,943d62b7..97e6c3bf,destosiera,1.3668,nuevo_atractor
rondinearan,abaldonaron,314878e7,314878e7..3d8fcaa4,escuadronare,1.0823,nuevo_atractor
aeronauticas,entrecorte,b483890b,b483890b..b85b07b2,antelacion,0.7112,nuevo_atractor
badallasemos,candongueeis,4cb3f7ea,4cb3f7ea..b36cb5f5,abominais,1.5902,nuevo_atractor
emascularian,acosijabamos,2b4de742,2b4de742..273c2f47,eucariotas,0.8386,nuevo_atractor
desbastarias,nombren,1d06c6bf,1d06c6bf..b90f4668,devanares,2.1724,nuevo_atractor
sobajasteis,popabas,5f63a40f,5f63a40f..30f4bf71,aconteceres,1.0153,nuevo_atractor
demeritaren,matearia,3113df64,3113df64..c0a2fc57,decelerabamos,1.1085,nuevo_atractor
ruletearas,denominara,44634821,44634821..1c74a69c,controlada,0.8716,nuevo_atractor
carocho,antagonicos,13ef2416,13ef2416..3464f80d,compungidas,0.8884,nuevo_atractor
plagueaba,visiteis,c4d4be2c,c4d4be2c..01eca40e,enlozara,0.4839,nuevo_atractor
enronchabamos,patentizad,36741115,36741115..db6c2697,desapolillar,0.6216,nuevo_atractor
insonorizaras,enaguachares,909cc27d,909cc27d..82ff165f,ciegue,1.2024,nuevo_atractor
destemplaran,vidriaramos,f266fb4b,f266fb4b..18e50559,bagar,1.3855,nuevo_atractor
encuartelaron,chiscaramos,b9788b73,b9788b73..2641bce8,aconteceres,0.5053,nuevo_atractor
arrematabas,derribaren,a3bbeaff,a3bbeaff..91698c3e,descoyunta,0.4039,nuevo_atractor
plumearian,riñeremos,ecf2e059,ecf2e059..f7998b69,desazogad,0.7321,nuevo_atractor
achucuyaba,moquiteemos,a261c59a,a261c59a..6fd2ca32,encalichamos,1.6883,nuevo_atractor
copucheo,jugasen,b3f86d49,b3f86d49..bcb93c36,colmase,1.0218,nuevo_atractor
molestaseis,desenvelejaria,8df2e2e8,8df2e2e8..6e07b7c7,enladrillaran,1.2768,nuevo_atractor
loticemos,heleros,2bd68d13,2bd68d13..93302b7a,escarearamos,1.9050,nuevo_atractor
escorzarais,vahidos,0f3a0df3,0f3a0df3..6005c74d,suscribid,0.8704,nuevo_atractor
comiesen,chimiscolee,168bb93b,168bb93b..4758f94b,aprestigien,1.5650,nuevo_atractor
envalijamos,retransmitiras,27c8a4db,27c8a4db..6ec118da,guasabeaste,0.8948,nuevo_atractor
maniataras,descueraran,a68a7300,a68a7300..4cd2a813,almonedean,0.9394,nuevo_atractor
moblajes,afrechases,a7842eb8,a7842eb8..26528c71,currican,0.9155,nuevo_atractor
asecharemos,felparan,9cd498f2,9cd498f2..56658957,habrias,0.6804,nuevo_atractor
descosteis,tranquearais,6be57c49,6be57c49..4860b70f,sobrevivais,1.8049,nuevo_atractor
detraereis,anocheceriamos,1245d47a,1245d47a..366e5d9c,alcoholizais,0.6668,nuevo_atractor
interminables,cututeaba,3ae2d93c,3ae2d93c..bc08c67e,concienciabas,0.7343,nuevo_atractor
enardeciesemos,alambrean,bf643ded,bf643ded..45261966,acentuarais,0.4829,nuevo_atractor
esguilariamos,bachateasen,b11fed4a,b11fed4a..812b08ca,trasvasabais,0.7399,nuevo_atractor
carameleaban,cundundearamos,822a5cd5,822a5cd5..bc13d1a4,diatopicos,1.0513,nuevo_atractor
expiaste,increpariais,13e202fa,13e202fa..5bc6ebe6,alcantarillad,0.7153,nuevo_atractor
americana,premostrase,406a54eb,406a54eb..19223a7f,enmarabamos,0.5059,nuevo_atractor
espiroquetos,entrediriamos,ec27f566,ec27f566..f9ac85ea,friccionare,1.5421,nuevo_atractor
alforzasemos,demoñuelos,a5172ac0,a5172ac0..b243f74c,ensayalemos,2.1337,nuevo_atractor
loberia,sobrecreciendo,aacb430b,aacb430b..bfc3f6ac,irrespeto,1.4351,nuevo_atractor
mollinee,citodiagnostico,097533a6,097533a6..369a46ee,pajarero,0.7731,nuevo_atractor
comercializaran,obstruimos,adeecab1,adeecab1..6328d1bc,susurraron,1.3035,nuevo_atractor
antecediereis,subdividen,9db41955,9db41955..47b1a09b,dataramos,0.5634,nuevo_atractor
tardeceria,escotasemos,370c4a6a,370c4a6a..e13f1179,antelacion,0.3592,nuevo_atractor
esconzarian,aplaudio,ab6a27ee,ab6a27ee..0391e1e6,embolismaria,0.8116,nuevo_atractor
refregado,divergiran,25ce5af5,25ce5af5..4b4b0219,decelerabamos,1.6385,nuevo_atractor
hornaceros,bernardinas,1f42cf0f,1f42cf0f..fd6ff078,engreiremos,1.7661,nuevo_atractor
fistulada,oncearamos,26ed815f,26ed815f..c32dea86,sobresaliente,0.8181,nuevo_atractor
descantonaremos,hidrometros,bc1bbad3,bc1bbad3..238a82f5,americaniza,0.2977,nuevo_atractor
meitad,obscureceis,cdc83665,cdc83665..05e5c238,horcon,1.9923,nuevo_atractor
alcahaces,sorprendo,2d773557,2d773557..a4f2a1e9,enmarabamos,1.1192,nuevo_atractor
circuito,foncarraleros,2e0538de,2e0538de..43be2f90,aconteceres,0.9890,nuevo_atractor
desengrases,azoreis,b913aa61,b913aa61..d94dd86f,antelacion,0.3162,nuevo_atractor
fuñiqueis,incoases,8653224f,8653224f..29206977,asareasemos,1.1332,nuevo_atractor
estridulen,chinchinearamos,10a13243,10a13243..6426ff53,apiñaron,1.3703,nuevo_atractor
clocaste,dengueeis,a4b8765b,a4b8765b..79589d57,doblegares,0.5615,nuevo_atractor
floreemos,atomistico,cf2ba45c,cf2ba45c..81eeb8bc,embarnizaremos,0.5376,nuevo_atractor
ornitologico,valoreariamos,eb9b3493,eb9b3493..b0aca608,colicueciera,0.6202,nuevo_atractor
engenio,chamuscos,38201fe9,38201fe9..a16d76f7,restablecere,0.6446,nuevo_atractor
pulsaria,apercibis,ff201c23,ff201c23..d73bd254,colmase,0.7821,nuevo_atractor
llegabas,greguizaramos,fab041bc,fab041bc..9f8255a7,semasiologia,1.5220,nuevo_atractor
autistas,operatoria,148fa6eb,148fa6eb..7c3b975d,acentuarais,0.4786,nuevo_atractor
desaferrasen,jaropabas,fbca4eac,fbca4eac..8047b2bf,escobos,1.3109,nuevo_atractor
lubrifiquen,acalabrotaba,66b7be9c,66b7be9c..43854783,engredaren,1.9443,nuevo_atractor
negasemos,ambulantes,b5e72ab2,b5e72ab2..78d93dc3,barroquizantes,0.7956,nuevo_atractor
enjorquetabamos,astenias,228a6d6a,228a6d6a..9d793fb5,desenlodaren,0.6868,nuevo_atractor
vampiriceis,ventaje,ba187b6b,ba187b6b..fb4972ee,fortaleciamos,0.5366,nuevo_atractor
constituyes,redescubriamos,33955d59,33955d59..01122cec,supervino,1.0708,nuevo_atractor
acogere,engrinchasteis,843a1676,843a1676..26b50ffd,preconcebir,1.2437,nuevo_atractor
adoro,encurdaria,724ed74c,724ed74c..2fc9c35f,narro,1.3229,nuevo_atractor
empobrecieras,talismanes,69bb6502,69bb6502..3ecd4480,amordazaremos,0.9933,nuevo_atractor
