word,neighbor,distance
runruneares,matarones,0.3575
runruneares,chorarian,0.3592
runruneares,claverias,0.3608
chirrionaren,ocupareis,0.2453
chirrionaren,impactare,0.2502
chirrionaren,congenias,0.3092
chirrionaren,mingan,0.3242
chirrionaren,pechisacada,0.3273
chirrionaren,rehoyarias,0.3304
chirrionaren,reparaseis,0.3317
chirrionaren,islamizabais,0.3461
chirrionaren,adhiramos,0.3461
chirrionaren,vituallabamos,0.3515
adinerabamos,corseareis,0.2213
adinerabamos,economizases,0.2444
adinerabamos,arranches,0.2575
adinerabamos,patrañeras,0.2656
adinerabamos,repicabas,0.2702
adinerabamos,coproduzca,0.2858
adinerabamos,incurvaste,0.2967
adinerabamos,arrellanases,0.3028
adinerabamos,palotee,0.3133
adinerabamos,bisbisaseis,0.3149
circunferi,abotagariais,0.2388
circunferi,simultaneeis,0.2616
circunferi,cursillista,0.2633
circunferi,mitigariais,0.2637
circunferi,amaromabas,0.2764
circunferi,tormentaria,0.2781
circunferi,anidies,0.2862
circunferi,traslumbraras,0.2902
circunferi,recites,0.2957
circunferi,enmagreceras,0.2995
encanalizasen,garreasen,0.1791
encanalizasen,execrando,0.1917
encanalizasen,ñampeaseis,0.1977
encanalizasen,dieciochesca,0.2430
encanalizasen,tajea,0.2456
encanalizasen,perseveran,0.2627
encanalizasen,sospesariais,0.2638
encanalizasen,cabestreabais,0.2879
encanalizasen,terrateniente,0.3023
encanalizasen,borborigmo,0.3105
gramatiqueamos,achantaren,0.1588
gramatiqueamos,lechugadas,0.1676
gramatiqueamos,posibilitases,0.1717
gramatiqueamos,sendero,0.1743
gramatiqueamos,alisaron,0.1758
gramatiqueamos,participe,0.1775
gramatiqueamos,litografiaramos,0.1836
gramatiqueamos,adundabas,0.1847
gramatiqueamos,encarajinarais,0.1944
gramatiqueamos,chamarileos,0.1968
refaccionasemos,archivadora,0.3140
refaccionasemos,noctambulaseis,0.3149
refaccionasemos,desuñamos,0.3165
refaccionasemos,macheteabas,0.3222
refaccionasemos,enchufarian,0.3519
refaccionasemos,desatascaste,0.3562
refaccionasemos,condicionasteis,0.3595
refaccionasemos,descreceria,0.3625
refaccionasemos,mangueariais,0.3732
refaccionasemos,apersogando,0.3860
gangueaba,arrunflaren,0.2408
gangueaba,encentais,0.2438
gangueaba,coquizare,0.2613
gangueaba,hermanecisteis,0.2759
gangueaba,maternizasen,0.2775
gangueaba,trafagaseis,0.2785
gangueaba,enmararais,0.2877
gangueaba,entrenamos,0.2914
gangueaba,filetones,0.3040
gangueaba,retrechan,0.3106
trisecaron,perduramos,0.2128
trisecaron,arrobera,0.2548
trisecaron,coree,0.3220
trisecaron,reflotaras,0.3305
trisecaron,somatizo,0.3421
trisecaron,entupieses,0.3469
trisecaron,vocearais,0.3816
trisecaron,retemblaremos,0.4028
trisecaron,tornapunta,0.4303
trisecaron,formases,0.4305
entriparia,arengan,0.1936
entriparia,aborregadas,0.2108
entriparia,desentramparais,0.2119
entriparia,acensases,0.2667
entriparia,genotipo,0.2768
entriparia,regalasemos,0.3016
entriparia,comprometes,0.3060
entriparia,abrotoñad,0.3083
entriparia,emitiras,0.3118
entriparia,toaremos,0.3367
narcotizaremos,fenezcais,0.2915
narcotizaremos,conmovedor,0.3645
narcotizaremos,impresionasemos,0.3647
narcotizaremos,encharralaron,0.3680
narcotizaremos,sazonaremos,0.3770
narcotizaremos,traspecho,0.3812
narcotizaremos,cacaro,0.4013
narcotizaremos,entroneradas,0.4013
narcotizaremos,enramaremos,0.4099
narcotizaremos,descalabrariais,0.4112
aguachase,raptaren,0.2303
aguachase,motejes,0.2898
aguachase,gnetaceos,0.3162
aguachase,trampearais,0.3218
aguachase,carraspeabais,0.3245
aguachase,enrojados,0.3321
aguachase,despioja,0.3328
aguachase,recincharia,0.3343
aguachase,sofistico,0.3344
aguachase,ratonesco,0.3383
encestaron,agarrochando,0.3255
encestaron,marrearen,0.3500
encestaron,vigorarias,0.3820
encestaron,profazaste,0.3915
encestaron,prenderan,0.3977
encestaron,pericardios,0.3992
encestaron,ambulando,0.4110
encestaron,engañase,0.4367
encestaron,undularias,0.4448
encestaron,peladores,0.4462
agregabas,impulsoras,0.1889
agregabas,linguetes,0.2416
agregabas,acalambran,0.2539
agregabas,desemparejaban,0.2799
agregabas,venezolanismo,0.2940
agregabas,llevasteis,0.2964
agregabas,graciadiosense,0.3152
agregabas,operase,0.3193
agregabas,escalabrariais,0.3219
agregabas,achorcholareis,0.3282
desbardaria,deshabiteis,0.2581
desbardaria,posaras,0.2807
desbardaria,sopalancar,0.3021
desbardaria,expulsasemos,0.3269
desbardaria,despampanante,0.3288
desbardaria,prosperando,0.3439
desbardaria,impelieremos,0.3639
desbardaria,acintures,0.3643
desbardaria,liderizando,0.3671
desbardaria,amaneadas,0.3687
anclas,pispearen,0.1525
anclas,mochabas,0.1584
anclas,raicearan,0.1852
anclas,caricaturicemos,0.1973
anclas,pautamos,0.2504
anclas,raramuri,0.2517
anclas,encobijaste,0.2642
anclas,industriamos,0.2964
anclas,coletillo,0.2975
anclas,desenfurruñase,0.3010
chirread,tartamudeabamos,0.1663
chirread,desafortunados,0.2073
chirread,solapado,0.2746
chirread,repagasemos,0.2839
chirread,espadañeis,0.3043
chirread,fichajes,0.3045
chirread,alfocigo,0.3393
chirread,datase,0.3537
chirread,reacuñaren,0.3737
chirread,lambisconea,0.3799
secuencies,coleccionamos,0.2471
secuencies,forigaran,0.2543
secuencies,desporrondinguen,0.2788
secuencies,pulso,0.3075
secuencies,vegetalistas,0.3165
secuencies,coposa,0.3227
secuencies,carenados,0.3231
secuencies,moverias,0.3266
secuencies,patavino,0.3293
secuencies,tuyas,0.3305
clasificaran,alegorizara,0.2852
clasificaran,pasten,0.3012
clasificaran,expedicionero,0.3431
clasificaran,egresaseis,0.3518
clasificaran,adivas,0.3521
clasificaran,asignar,0.3528
clasificaran,collar,0.3679
clasificaran,adstringieron,0.3687
clasificaran,engordaron,0.3689
clasificaran,esbozaseis,0.3709
complementar,apolvillarais,0.1948
complementar,chocolia,0.2206
complementar,solazad,0.2297
complementar,vilipendiada,0.2533
complementar,conseguimientos,0.2542
complementar,transfretasemos,0.2578
complementar,trences,0.2607
complementar,medrarian,0.2670
complementar,prenderos,0.2839
complementar,cardimuelle,0.2951
trompeara,postearias,0.2772
trompeara,enmallasteis,0.3185
trompeara,apelotonaban,0.3189
trompeara,escribiendo,0.3334
trompeara,excusos,0.3444
trompeara,cristologica,0.3459
trompeara,contenderias,0.3532
trompeara,descercaren,0.3577
trompeara,panzona,0.3677
trompeara,concursamos,0.3790
manducadas,tumo,0.2499
manducadas,midais,0.2587
manducadas,cayena,0.2796
manducadas,pernoctaseis,0.2802
manducadas,grabais,0.2823
manducadas,regeneren,0.3112
manducadas,entroncabamos,0.3339
manducadas,olorizaras,0.3385
manducadas,despolitizaseis,0.3414
manducadas,traslatas,0.3431
troneremos,intramusculares,0.1999
troneremos,zurrarais,0.2367
troneremos,gañera,0.2409
troneremos,federasemos,0.2679
troneremos,recondujesen,0.2915
troneremos,malograreis,0.3036
troneremos,dedujera,0.3067
troneremos,enucleariais,0.3093
troneremos,mecates,0.3107
troneremos,desaceitasen,0.3111
reburujase,tontees,0.2628
reburujase,traqueen,0.3129
reburujase,chosparan,0.3365
reburujase,viseada,0.3431
reburujase,hurañamente,0.3433
reburujase,ilergete,0.3463
reburujase,amusepaste,0.3469
reburujase,place,0.3495
reburujase,caobos,0.3558
reburujase,amnistiase,0.3623
perlonguemos,almidonado,0.2540
perlonguemos,agozcada,0.2565
perlonguemos,arrige,0.2649
perlonguemos,calaita,0.2719
perlonguemos,gobernabamos,0.2944
perlonguemos,enrielases,0.3013
perlonguemos,especularian,0.3131
perlonguemos,encubase,0.3566
perlonguemos,liofilizabais,0.3590
perlonguemos,hipotecas,0.3694
repicoteando,alelabais,0.3047
repicoteando,eneriza,0.3120
repicoteando,desempataran,0.3131
repicoteando,tararias,0.3381
repicoteando,desligados,0.3472
repicoteando,sonrojee,0.3481
repicoteando,despaldan,0.3540
repicoteando,cuetanos,0.3596
repicoteando,befaran,0.3833
repicoteando,dentaseis,0.3841
matead,enjaquimarais,0.2623
matead,aprestamos,0.3705
matead,asiladas,0.3723
matead,entorcaste,0.3767
matead,pelonees,0.4112
matead,aculillariamos,0.4183
matead,aherroje,0.4317
matead,aligad,0.4373
matead,encauchasteis,0.4433
matead,minigolf,0.4590
inmutariais,enmarihuanabas,0.2016
inmutariais,encarguen,0.2046
inmutariais,pesebrera,0.2304
inmutariais,hautes,0.2869
inmutariais,daguerrotipases,0.2892
inmutariais,emborrajaseis,0.3004
inmutariais,adentellareis,0.3079
inmutariais,entrecruzaseis,0.3218
inmutariais,enderecharemos,0.3274
inmutariais,desmoñeis,0.3288
desroñares,supervinieramos,0.2060
desroñares,afosabas,0.2331
desroñares,odorifica,0.2552
desroñares,desendemonian,0.2934
desroñares,margenabamos,0.3063
desroñares,brujiste,0.3119
desroñares,dislocaciones,0.3214
desroñares,desafilando,0.3524
desroñares,achucharra,0.3561
desroñares,resaltariamos,0.3720
rampais,galleasen,0.1952
rampais,desentrampareis,0.2012
rampais,engollipamos,0.2214
rampais,autoeditarias,0.2268
rampais,enriostradas,0.2297
rampais,vecero,0.2429
rampais,pasamanero,0.2463
rampais,aclaveladas,0.2494
rampais,desemblantasen,0.2543
rampais,tangaria,0.2710
retostaba,anillas,0.2314
retostaba,enseriases,0.2447
retostaba,desgorrabamos,0.2840
retostaba,apendejarian,0.3086
retostaba,mimbreras,0.3091
retostaba,transformarais,0.3359
retostaba,eutrofizasemos,0.3427
retostaba,terreemos,0.3547
retostaba,aduanasen,0.3580
retostaba,malhirieron,0.3703
forcejeo,besuqueariais,0.0964
forcejeo,escamotaramos,0.1440
forcejeo,parafrasearais,0.2956
forcejeo,decaeran,0.3036
forcejeo,extraditadas,0.3040
forcejeo,tournee,0.3136
forcejeo,zaceo,0.3227
forcejeo,pichirrearas,0.3354
forcejeo,majear,0.3364
forcejeo,cuchareais,0.3367
desconvendriais,actrices,0.1157
desconvendriais,verascopio,0.2333
desconvendriais,recesarias,0.2570
desconvendriais,reanimaban,0.2972
desconvendriais,desamortizamos,0.3621
desconvendriais,signico,0.3839
desconvendriais,emblematizarian,0.4003
desconvendriais,adios,0.4004
desconvendriais,convulsionaban,0.4176
desconvendriais,guinjos,0.4219
herbecerian,depreciaste,0.1760
herbecerian,empecinasteis,0.2365
herbecerian,crupieres,0.2414
herbecerian,acorriendo,0.2643
herbecerian,agarbariais,0.2673
herbecerian,deputados,0.2698
herbecerian,operarios,0.2858
herbecerian,arduos,0.2888
herbecerian,acochinaria,0.2911
herbecerian,aplantillaremos,0.2989
chisporrotean,principian,0.1031
chisporrotean,dispararas,0.1431
chisporrotean,ajetreasteis,0.1461
chisporrotean,cooptadas,0.1826
chisporrotean,substanciando,0.1994
chisporrotean,rabiaren,0.2356
chisporrotean,bizcad,0.2658
chisporrotean,contrapesadas,0.2797
chisporrotean,auxiliabais,0.2880
chisporrotean,materializaras,0.2952
zurdee,despejasen,0.2219
zurdee,desconciertos,0.2380
zurdee,expidieron,0.2486
zurdee,caponare,0.2809
zurdee,bojearian,0.2815
zurdee,jarifianas,0.2902
zurdee,aserenaste,0.2971
zurdee,copilases,0.3119
zurdee,desfondeis,0.3185
zurdee,despampanabais,0.3290
españolearais,alboguearais,0.2080
españolearais,atavieis,0.2274
españolearais,exprimiera,0.2521
españolearais,cristalografia,0.2584
españolearais,templaran,0.2668
españolearais,amostrara,0.2713
españolearais,changadores,0.2722
españolearais,tractoraron,0.2823
españolearais,azotones,0.2841
españolearais,gema,0.3116
licenciada,maularen,0.2831
licenciada,toxicarais,0.3045
licenciada,enfocaran,0.3097
licenciada,atarazado,0.3118
licenciada,expoliador,0.3163
licenciada,indicad,0.3213
licenciada,arrequesonabas,0.3219
licenciada,acuchillando,0.3242
licenciada,acceder,0.3304
licenciada,adamando,0.3305
desinvierne,bastardeaseis,0.2803
desinvierne,emplumecisteis,0.3124
desinvierne,fechado,0.3220
desinvierne,circuyeremos,0.3276
desinvierne,coadune,0.3457
desinvierne,himparan,0.3567
desinvierne,esporofito,0.3665
desinvierne,goethiano,0.3730
desinvierne,cloteara,0.3753
desinvierne,cascarian,0.3770
cazaremos,embastecimos,0.1919
cazaremos,artilleras,0.2268
cazaremos,destajado,0.2787
cazaremos,usufructuaron,0.2842
cazaremos,moquitead,0.2948
cazaremos,nomon,0.3173
cazaremos,enflaquemos,0.3263
cazaremos,afinasemos,0.3307
cazaremos,evangelizaria,0.3390
cazaremos,urajeamos,0.3499
desatasen,bocabajeareis,0.2909
desatasen,jopeareis,0.3174
desatasen,pervulgueis,0.3222
desatasen,desaprisionen,0.3432
desatasen,intentariais,0.3454
desatasen,envinagrados,0.3654
desatasen,estiramientos,0.3785
desatasen,aleabamos,0.3815
desatasen,retoñeci,0.3826
desatasen,bravosidades,0.3980
morbideza,trocais,0.3615
morbideza,ineluctables,0.3668
morbideza,expositoras,0.4074
morbideza,golosinabamos,0.4146
morbideza,mandi,0.4323
morbideza,anublan,0.4327
morbideza,desprotegen,0.4337
morbideza,erizasen,0.4356
morbideza,tardezcan,0.4376
morbideza,aluminato,0.4481
destajamiento,cujes,0.2332
destajamiento,breeis,0.2820
destajamiento,acullicabas,0.2917
destajamiento,regraciariais,0.2990
destajamiento,desmerecido,0.2999
destajamiento,cubileteases,0.3205
destajamiento,mascadura,0.3206
destajamiento,altaneria,0.3214
