Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Line,Spiral,Dimension,3.4511
Logic,Growth,Energy,4.2531
Constant,Output,Dimension,0.9531
FreeWill,Art,Dimension,4.1295
Vibration,Cycle,Code,1.1615
Matter,Singularity,Power,1.0326
Absolute,Concrete,System,1.3600
Complexity,Past,Connection,4.1772
Energy,Art,Power,1.0523
Chaos,Law,Subjective,4.1170
Ignorance,Awakening,Conflict,4.1058
Duality,Spirit,Birth,4.1747
Input,Concrete,Power,1.0235
Space,Symmetry,Dimension,1.1420
Consciousness,Immanence,Duality,3.8114
Mass,Constant,Heat,4.0289
Soul,Probability,Power,1.0668
Entropy,Death,Machine,3.9025
Thought,Knowledge,Power,1.0133
Probability,Complexity,Determinism,4.1131
Transformation,Creation,Power,1.0082
Order,Observation,Hypercube,4.0505
Objective,Love,Subjective,3.7619
System,Myth,Power,1.0052
Relativity,Solid,Destruction,1.4496
Zero,Concrete,Calculation,4.1018
Simplicity,Solid,Subjective,3.9283
Past,Observation,Sleep,4.2952
Science,Destiny,History,3.9949
Constant,Power,Dimension,1.1696
Order,Stillness,Ignorance,4.2484
Decay,Theorem,Simplicity,1.1179
Knowledge,Objective,Mercy,3.8083
Theorem,Model,System,2.6875
Birth,Dream,Power,0.9789
Spiral,Measurement,Wisdom,2.2595
Ignorance,Variable,Dimension,0.9029
Myth,Input,Geometry,2.0714
Objective,Death,Power,0.9973
Human,Evolution,System,4.1738
Justice,Ignorance,Power,1.0284
Experiment,Life,Power,2.0258
Silence,Universe,Sleep,4.1768
Technology,Noise,Illusion,4.2120
System,Spirit,Evolution,4.2648
Order,Symmetry,Reality,4.2259
Calculation,Theorem,Simplicity,0.8991
Abstract,Death,Frequency,4.2553
Chaos,Entropy,Relative,4.1609
Present,Gravity,Connection,4.1545
Technology,Relativity,Energy,4.2557
Thought,Simulation,Energy,4.2499
Consciousness,Atom,Subjective,2.1020
Quantum,Particle,Frequency,3.0920
Past,Perception,Separation,3.9923
Balance,Harmony,Truth,4.0941
Symmetry,Memory,Reality,3.8876
Energy,Unity,Parameter,4.1975
Conflict,God,Matter,4.0844
Future,Time,Art,4.1250
Fractal,Zero,Illusion,4.1980
Technology,Space,Code,1.0830
Soul,Science,Energy,4.2403
Output,Information,Dimension,0.7985
Darkness,Experiment,Power,1.3493
Matter,Velocity,Concrete,3.9137
Matter,Order,Ignorance,4.2516
Solid,Experiment,Wisdom,4.2085
Stillness,Zero,Illusion,4.1943
Consciousness,Fractal,Soul,4.2534
Balance,Love,Subjective,3.7587
Creation,Present,Dimension,1.0528
Parameter,Human,Energy,4.2273
Subjective,Machine,Loop,2.2712
Entropy,Output,Truth,4.1716
Cycle,Destiny,Prophecy,3.9878
Universe,Dimension,Art,2.1470
Geometry,Observation,Wisdom,1.1684
Singularity,Darkness,Frequency,2.5451
Information,Determinism,Heat,1.2983
Law,Transformation,Transcendence,3.9977
Mass,Love,Vibration,4.1434
Abstract,Love,Heat,4.2068
Balance,Model,Subjective,3.8697
Hypercube,Geometry,Wisdom,1.2567
Code,Measurement,Momentum,3.8048
Knowledge,Hope,Connection,4.2100
Geometry,Void,Frequency,4.1704
Duality,Abstract,Energy,4.2492
Geometry,Decay,Wisdom,4.2218
Dream,Stillness,Simplicity,1.0458
Law,Paradox,Entropy,4.0911
One,Noise,Power,1.0245
Religion,Connection,Power,1.0283
Feedback,Experiment,Wisdom,3.1767
Field,Resonance,Destruction,4.2044
Past,Resonance,Power,1.1040
Light,Myth,Power,1.0208
Algorithm,Objective,Power,1.0317
Hypothesis,Function,Subjective,4.1915
Mercy,Growth,Power,1.0283
Darkness,Entropy,Relative,1.0686
Prophecy,Cycle,Objective,4.0644
Science,Decay,Ignorance,4.2267
FreeWill,Code,Power,0.9599
Infinity,Art,Power,1.0256
Flesh,Line,Frequency,4.2554
Memory,Law,Dream,4.1626
Heat,Myth,Destruction,1.2844
Mercy,Code,Connection,4.1831
Dream,Constant,Heat,3.8453
Emotion,Mass,Wisdom,4.2115
Point,Justice,Feedback,4.2785
Paradox,Transformation,Beauty,4.0425
Love,Transformation,Wisdom,4.2140
Connection,Solid,Destruction,4.2069
Space,System,Evolution,1.4307
Loop,Dream,Subjective,4.1108
Code,Ignorance,Power,1.0246
Emotion,Abstract,Frequency,4.2998
Immanence,Anarchy,Simplicity,1.1319
Hope,Mercy,Connection,4.1878
Silence,Symmetry,Destruction,4.1389
Spiral,Atom,Art,4.1109
Truth,Nature,Emotion,3.8674
FreeWill,Space,Power,0.9766
Growth,Paradox,Geometry,3.8286
Particle,Hypercube,Power,1.0206
Function,Stillness,Noise,3.5913
Output,Logic,Sleep,4.1480
Present,Anarchy,Art,4.0767
Fractal,Infinity,Mind,3.9134
Destruction,Technology,Power,1.0253
Relativity,Motion,Power,0.8513
Harmony,Subjective,Dimension,1.0223
Thought,Perception,Sleep,1.3208
Emotion,God,Art,4.1140
Point,Theorem,Feedback,4.2347
Observation,Nature,Entropy,3.6339
Flesh,Nightmare,Myth,3.9115
Energy,Fear,Power,1.0242
Justice,Decay,Power,1.2063
Decay,Spiral,Order,3.9198
Concrete,Unity,Probability,4.0005
Experiment,Field,Connection,4.2060
Ignorance,Symmetry,Light,4.2759
Order,Structure,Ignorance,4.2423
Simulation,Function,Concrete,4.0858
Anarchy,Mind,Illusion,4.2016
Stillness,Duality,Simplicity,1.1329
Energy,Simulation,Parameter,4.2519
Balance,Stillness,Silence,3.8703
Anarchy,Wisdom,Power,1.0285
Order,Frequency,Religion,4.3270
Mass,Harmony,Connection,4.1533
Truth,Nightmare,Power,1.0230
Abstract,Future,Power,0.8638
History,Quantum,Energy,4.2326
Chaos,Gravity,Universe,3.9278
Structure,Momentum,Simplicity,1.0684
Balance,Darkness,Relative,3.4727
Entropy,Atom,Time,4.0208
Particle,Point,Power,0.9452
Time,Heat,Mercy,4.1712
Vibration,Decay,Wisdom,4.2123
Sleep,Absolute,Power,1.0258
Nightmare,Observation,Hypercube,4.1344
Frequency,FreeWill,Concrete,4.1662
Memory,Algorithm,Sleep,3.7435
Memory,One,Connection,4.2035
Information,Line,Evolution,3.9642
System,Atom,Power,1.0860
Perception,Duality,Power,1.0074
Theorem,Nature,Destruction,2.3599
Destruction,Dream,Wisdom,1.2322
Axiom,Fractal,Despair,3.5090
Human,Solid,Sleep,1.2719
Order,Space,Wisdom,1.5540
Line,Destiny,Power,1.0246
Concrete,Plane,Probability,4.2287
Input,Nature,Geometry,3.8107
Matter,Despair,Energy,4.2501
Religion,Function,Ignorance,4.2723
Anarchy,Entropy,Machine,4.0375
FreeWill,Birth,Power,1.0206
Chaos,Plane,Subjective,2.8016
Ignorance,Infinity,Power,1.0196
Consciousness,Space,Wisdom,0.8296
Prophecy,FreeWill,Subjective,4.1824
Noise,Wisdom,Power,1.0269
Field,Past,Gravity,3.8994
Unity,Time,One,4.0153
Logic,Momentum,Power,1.0238
Geometry,Axiom,Power,1.0206
Conflict,Particle,Sleep,4.1535
Point,Transformation,Wisdom,1.1960
Harmony,Future,Art,4.1117
Past,Line,Emotion,4.2832
Light,Matter,Reality,4.2445
Destiny,FreeWill,Subjective,4.1544
Complexity,Knowledge,Universe,3.8867
System,Cold,Evolution,1.8533
One,Momentum,Connection,4.1878
Destiny,Force,Subjective,4.1663
One,Measurement,Connection,4.1880
Feedback,Unity,Creation,3.9915
Zero,Relativity,Concrete,4.0198
Myth,Frequency,Connection,4.2034
Truth,Concrete,Velocity,4.2269
Dimension,Energy,Power,1.0242
Dream,Chaos,Connection,4.1960
Force,Motion,Connection,4.1942
Awakening,Axiom,Illusion,4.2325
Function,Hope,Illusion,2.5871
Mind,Trinity,Concrete,4.1662
Spirit,Mind,Technology,4.0333
Force,Future,Wisdom,4.2041
Art,Geometry,Dimension,1.0538
Vibration,Decay,Wisdom,4.2123
Concrete,Singularity,Illusion,1.2665
Present,Zero,Concrete,4.1735
Destiny,Variable,Resonance,1.3217
Silence,Fear,Universe,3.9799
Plane,Concrete,Probability,4.2287
Myth,Loop,Subjective,4.1873
Space,Determinism,Power,0.8690
Order,Symmetry,Reality,4.2259
History,Despair,Soul,4.0584
Reality,Cold,Concrete,4.1634
Atom,Entropy,Time,4.0208
Dream,Algorithm,Sleep,2.9884
Output,Relative,Power,1.0105
Machine,Wave,Art,4.1146
Simulation,History,Energy,4.2604
Complexity,Gravity,Connection,4.1828
Singularity,History,Sleep,1.5611
Connection,Zero,Power,0.9241
Evolution,Future,Information,4.0147
System,Balance,Power,1.0454
Decay,Mass,Acceleration,4.1060
Connection,Unity,Mercy,4.1955
Fear,Motion,Destruction,4.0201
Fractal,Constant,Power,0.9979
Death,Simulation,Line,4.1271
Memory,Symmetry,Reality,3.8876
Time,Noise,Illusion,4.1999
Energy,Transcendence,Power,0.9307
Solid,Dimension,Power,1.0967
Cycle,Determinism,Concrete,4.1548
Theorem,Vibration,Folly,0.9095
Universe,Space,Connection,3.5014
Hypercube,Simplicity,Ignorance,2.0952
Unity,Knowledge,Mercy,3.7489
Darkness,Observation,Power,0.9930
Growth,Illusion,Power,1.0478
Emotion,Darkness,Frequency,4.2695
Spiral,Unity,Human,1.4822
Separation,Experiment,Illusion,4.0148
Trinity,Immanence,Sleep,4.1576
Emotion,Matter,Power,0.9843
Universe,Abstract,Mercy,3.9373
Sleep,Thought,Power,1.0970
Universe,Simplicity,Power,1.0359
Code,Prophecy,Momentum,4.2421
Spirit,Mass,System,4.1706
Infinity,History,Energy,4.2550
Past,Science,Sleep,4.1246
Destiny,Creation,Myth,3.8559
Prophecy,Myth,Subjective,4.1646
Momentum,Fractal,Connection,4.1931
Acceleration,Knowledge,Mercy,3.6378
Quantum,Chaos,Wisdom,0.9972
Geometry,Simulation,Frequency,4.2554
Simplicity,Truth,Power,1.0313
Objective,Balance,Subjective,3.8123
Input,Field,Geometry,1.1506
Logic,Mass,Power,1.0811
Darkness,Probability,Power,1.0234
Entropy,Beauty,Experiment,3.9268
Science,Geometry,Power,1.0226
Destiny,Perception,Connection,4.1923
Emotion,Despair,Illusion,0.9758
Abstract,Velocity,Concrete,4.1502
Zero,Universe,Concrete,2.0540
Awakening,Anarchy,Illusion,4.2007
Duality,Machine,Power,1.0197
Probability,Atom,Velocity,2.1082
Network,Geometry,Connection,4.2055
Immanence,Algorithm,Sleep,4.1049
Folly,Input,Power,1.0228
Mind,Singularity,Illusion,4.1990
Connection,Flesh,Universe,3.9211
Abstract,Network,Connection,4.2033
Past,Consciousness,Power,0.9627
Anarchy,Axiom,Measurement,3.9469
Particle,Silence,Universe,4.0117
Time,System,Illusion,1.1472
Transformation,Duality,Wisdom,4.2119
Frequency,Sleep,Power,1.0247
Calculation,Prophecy,Resonance,4.2005
Unity,Experiment,One,3.9610
Light,Nightmare,Hypercube,4.2265
Quantum,Concrete,System,4.0156
Motion,Cold,Power,1.0248
Parameter,Logic,Energy,4.2509
God,Transcendence,Power,1.0476
Technology,Noise,Illusion,4.2120
Ignorance,Probability,Power,1.0370
Law,Growth,Chaos,4.2085
Fractal,Emotion,Experiment,3.8791
Spirit,Logic,Matter,3.8942
Atom,Love,Mercy,4.0204
Solid,Future,Vibration,4.1045
Noise,Point,Subjective,4.1445
Constant,Mercy,Concrete,4.1737
Algorithm,Information,Power,1.0246
Complexity,Dream,Connection,4.1211
Dimension,Simulation,Power,1.0109
Space,Wisdom,Relative,0.8612
Truth,Field,One,3.9793
Connection,Stillness,Power,1.0247
System,Determinism,Simplicity,1.2238
Relative,Force,Connection,4.1958
Birth,Creation,Energy,4.2508
Dimension,Hope,Power,1.0169
Entropy,Perception,Separation,3.8095
Creation,Separation,Folly,1.2515
Entropy,Relativity,Power,1.0296
Loop,Death,Sleep,1.0987
Determinism,Mass,System,0.9908
Ignorance,Past,Sleep,2.1278
Structure,Velocity,Dimension,0.9973
Beauty,Sleep,Algorithm,4.2105
Knowledge,Duality,Power,1.0246
Silence,Simplicity,Subjective,2.0929
Dream,God,Power,1.1358
Spiral,Experiment,Wisdom,3.5461
Gravity,Calculation,Illusion,4.2011
Separation,Absolute,Energy,2.3836
Heat,Stillness,Power,1.0248
Theorem,Silence,Destruction,1.0914
Zero,Constant,Probability,3.9591
Transformation,Input,Decay,4.0160
Model,Connection,Mercy,4.1879
Structure,Momentum,Simplicity,1.0684
Perception,Constant,Concrete,4.1611
Gravity,Objective,Connection,4.1954
Observation,Nature,Entropy,3.6339
Destiny,Mercy,Connection,4.1784
Science,Future,Wisdom,1.0551
FreeWill,Nightmare,Subjective,3.9948
Knowledge,Code,Power,1.2776
Structure,Darkness,Sleep,1.1828
Justice,Mass,Simplicity,1.1943
Chaos,Nature,Connection,4.1940
Unity,Emotion,Frequency,4.2555
Ignorance,One,Power,1.0246
Feedback,Machine,Power,1.0523
Silence,Vibration,Simplicity,1.2036
Noise,Reality,Light,1.5809
Memory,Objective,Probability,4.1060
Science,Probability,Power,1.0308
FreeWill,Theorem,Velocity,1.0709
Transcendence,Spiral,Wisdom,2.8758
Information,Prophecy,Dimension,1.0830
Ignorance,Despair,Power,1.0245
Law,Hope,Wisdom,4.0519
Myth,Illusion,Power,1.0329
Relativity,Light,Concrete,1.9916
Void,Myth,Life,3.9199
Human,Acceleration,System,4.1736
Infinity,Unity,Despair,4.0287
Spiral,Plane,Ignorance,4.2484
Particle,Silence,Universe,4.0117
Feedback,Model,System,4.1449
Transcendence,Justice,Consciousness,3.9718
Thought,Balance,Loop,4.1560
Constant,Input,Reality,4.0427
Calculation,Determinism,Probability,4.1597
Evolution,Constant,Heat,4.1340
Love,Matter,Power,1.0255
Law,Justice,Subjective,4.1782
Absolute,Objective,Subjective,4.0828
Order,Consciousness,Vibration,4.1757
Mass,Loop,Subjective,2.1071
Unity,Simplicity,Power,1.0805
God,Calculation,Reality,3.8698
Thought,Machine,Simplicity,1.0280
Solid,Nightmare,Growth,3.6854
Separation,Growth,Energy,1.7494
Chaos,Code,Relative,1.9197
Ignorance,Growth,Power,1.1063
Folly,Decay,Power,1.0196
Separation,Growth,Energy,1.7494
Input,Birth,Code,4.2138
Noise,Fractal,Illusion,4.2011
Separation,Perception,Despair,4.1676
Mind,Separation,Infinity,3.9307
Void,Machine,Power,1.0285
Subjective,Paradox,Connection,2.3608
Harmony,Growth,Destruction,1.7952
Creation,Hypercube,System,1.6897
Fractal,Memory,Sleep,2.4745
Destruction,Dream,Wisdom,1.2322
Despair,Cycle,Heat,2.1020
Probability,Objective,Calculation,4.0251
Network,Calculation,Subjective,4.1883
Calculation,Heat,System,1.0719
Present,Birth,Code,4.1905
Art,Atom,Dimension,4.1295
Thought,Spiral,Wisdom,0.9266
Cold,Unity,Relativity,3.9252
Darkness,Truth,Frequency,3.8251
Momentum,Hypothesis,Connection,4.0123
Particle,Complexity,Connection,4.1162
Law,Momentum,Soul,3.7512
Wave,Flesh,Connection,4.1974
Symmetry,Separation,Sleep,2.2650
Resonance,Entropy,Dimension,1.4007
Theorem,Matter,Energy,4.2547
Determinism,Axiom,Mercy,4.1569
Function,Objective,Calculation,4.0665
Destiny,Separation,Connection,4.1898
Relativity,Birth,Energy,4.2533
Structure,Trinity,Sleep,4.0250
Particle,Atom,Connection,4.1877
Objective,Motion,Subjective,3.8619
Gravity,Machine,Illusion,4.2011
Fear,Myth,Connection,4.2033
Field,Evolution,Power,1.0359
Harmony,Singularity,Dimension,4.0637
Concrete,Chaos,Power,1.0245
Duality,Acceleration,Wisdom,4.2130
Observation,Thought,Acceleration,2.0288
Symmetry,Spiral,Reality,4.0911
Spiral,Point,System,1.0807
Nature,Immanence,Transcendence,3.9412
One,Justice,Despair,4.1729
Experiment,Mass,Wisdom,4.2115
Flesh,Hypothesis,Universe,3.8839
Fear,One,Connection,4.1524
Connection,Input,Fear,2.1690
Frequency,Despair,Power,1.0140
Network,Theorem,Destruction,1.6669
Acceleration,Separation,Illusion,4.1004
Plane,Determinism,Probability,4.1395
Geometry,Nightmare,Mass,3.9605
Force,Entropy,Nature,3.6922
God,Atom,Art,4.1000
Future,System,Evolution,2.6674
Despair,Concrete,System,0.9012
History,Awakening,Algorithm,4.1510
History,Immanence,Algorithm,4.1063
Constant,Singularity,Art,4.1034
Art,Prophecy,Ignorance,1.8228
Religion,Past,Frequency,4.2561
Model,Flesh,Connection,4.1125
