Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Fractal,Beauty,Death,2.9919
Fractal,Power,Chaos,1.5892
Fractal,Silence,Chaos,4.1523
Fractal,Noise,Death,2.2315
Geometry,Truth,Noise,1.4314
Geometry,Beauty,Power,1.3933
Geometry,Power,Energy,1.4171
Geometry,Silence,Noise,1.5584
Geometry,Noise,Power,1.0246
Truth,Beauty,Power,1.1380
Truth,Power,Space,1.3902
Truth,Silence,Power,1.0216
Truth,Noise,Power,1.0711
Beauty,Power,Energy,1.3926
Beauty,Silence,Chaos,2.7515
Beauty,Noise,Death,2.0715
Power,Silence,Energy,1.3954
Power,Noise,Energy,1.3907
Silence,Noise,Chaos,1.9672
Darkness,Power,Space,1.4405
Void,Light,Power,0.9016
Mind,Silence,Power,1.0384
Truth,Fractal,Power,1.0759
Entropy,Void,Power,1.0247
Space,Beauty,Power,1.0820
Space,Fractal,Power,0.7837
Mind,Darkness,Power,1.5329
Truth,Energy,Power,1.2269
Power,Silence,Energy,1.3954
Death,Logic,Silence,2.0096
Death,Void,Silence,1.8691
Beauty,Void,Chaos,1.4597
Fractal,Matter,Death,3.1484
Chaos,Fractal,Gravity,3.9789
Chaos,Soul,Power,3.3116
Darkness,Death,Silence,1.2488
Truth,Darkness,Silence,1.4276
Power,Void,Geometry,1.6482
Entropy,Darkness,Power,0.7358
Logic,Fractal,Death,3.9505
Logic,Truth,Power,1.0549
Death,Order,Noise,2.6193
Geometry,Death,Silence,1.4695
Void,Order,Chaos,2.6251
Entropy,Geometry,Light,1.7234
Chaos,Space,Power,0.7193
Energy,Space,Power,1.0709
Truth,Beauty,Power,1.1380
Matter,Fractal,Death,3.1484
Space,Entropy,Power,0.9201
Darkness,Beauty,Power,1.0649
Life,Mind,Truth,4.3713
Chaos,Geometry,Power,1.0226
Noise,Fractal,Death,2.2315
Life,Entropy,Power,0.7669
Beauty,Noise,Death,2.0715
Energy,Fractal,Death,2.3485
Life,Beauty,Power,1.0362
Energy,Light,Power,0.7707
Energy,Life,Truth,4.0831
Death,Chaos,Silence,3.1158
Entropy,Void,Power,1.0247
Noise,Void,Power,0.9708
Death,Soul,Power,0.9767
Matter,Chaos,Silence,1.3590
Time,Matter,Silence,1.3840
Entropy,Soul,Truth,3.3272
Life,Beauty,Power,1.0362
Power,Matter,Geometry,1.5908
Space,Void,Power,1.1094
Death,Chaos,Silence,3.1158
Darkness,Fractal,Power,1.1389
Fractal,Mind,Death,3.9623
Darkness,Entropy,Power,0.7358
Silence,Void,Death,2.0930
Logic,Matter,Time,4.0450
Chaos,Order,Power,1.0512
Order,Logic,Power,3.0240
Noise,Life,Power,1.0248
Time,Geometry,Power,1.3173
Time,Mind,Noise,2.0089
Mind,Power,Geometry,1.6173
Logic,Truth,Power,1.0549
Void,Time,Chaos,2.2649
Fractal,Mind,Death,3.9623
Entropy,Mind,Noise,2.8055
Void,Time,Chaos,2.2649
Order,Power,Energy,1.4731
Order,Mind,Power,0.9403
Entropy,Logic,Power,1.0247
Noise,Power,Energy,1.3907
Entropy,Geometry,Light,1.7234
Space,Life,Power,0.9829
Darkness,Life,Power,1.5189
Death,Gravity,Beauty,3.9932
Life,Gravity,Chaos,1.8313
Beauty,Energy,Power,0.9117
Matter,Darkness,Power,1.3994
Logic,Darkness,Power,1.5036
Logic,Mind,Truth,4.2502
Time,Order,Noise,1.4427
Power,Logic,Geometry,1.5978
Darkness,Noise,Power,1.0237
Truth,Death,Entropy,4.3976
Energy,Truth,Power,1.2269
Darkness,Geometry,Noise,1.3489
Space,Soul,Power,0.9293
Space,Order,Power,1.2000
Mind,Life,Truth,4.3713
Mind,Death,Noise,2.4772
Space,Darkness,Power,0.9519
Gravity,Entropy,Time,4.2145
Energy,Chaos,Power,1.0250
Darkness,Geometry,Noise,1.3489
Life,Power,Chaos,1.5787
Noise,Energy,Power,1.0066
Space,Silence,Power,1.0063
Matter,Beauty,Chaos,2.6797
Geometry,Mind,Power,1.0250
Mind,Order,Power,0.9403
Life,Gravity,Chaos,1.8313
Geometry,Beauty,Power,1.3933
Power,Chaos,Space,1.4065
Death,Beauty,Gravity,2.5503
Logic,Gravity,Death,2.9788
Geometry,Truth,Noise,1.4314
Logic,Silence,Chaos,2.5902
Chaos,Matter,Silence,1.3590
Noise,Death,Beauty,2.4102
Space,Gravity,Power,0.8553
Void,Logic,Death,4.1526
Life,Truth,Power,1.1495
Time,Gravity,Fractal,3.7357
Matter,Light,Power,4.3255
Order,Beauty,Power,2.9475
Space,Noise,Power,1.0252
Silence,Soul,Power,1.2595
Death,Energy,Power,1.2735
Silence,Chaos,Beauty,4.2702
Soul,Light,Power,1.0254
Chaos,Soul,Power,3.3116
Geometry,Logic,Power,1.0082
Truth,Void,Noise,1.7162
Truth,Light,Power,1.1572
Entropy,Void,Power,1.0247
Chaos,Light,Power,1.0247
Energy,Soul,Truth,3.2747
Gravity,Fractal,Time,3.7406
Darkness,Noise,Power,1.0237
Power,Silence,Energy,1.3954
Energy,Void,Entropy,3.9529
Beauty,Gravity,Death,3.5245
Beauty,Matter,Chaos,2.6797
Void,Life,Entropy,4.0047
Death,Truth,Entropy,4.3976
Truth,Life,Power,1.1495
Space,Death,Power,1.0233
Soul,Death,Power,0.9767
Noise,Void,Power,0.9708
Geometry,Energy,Power,1.1608
Logic,Soul,Truth,4.3758
Truth,Beauty,Power,1.1380
Silence,Void,Death,2.0930
Entropy,Gravity,Time,4.2145
Void,Geometry,Noise,2.4969
Soul,Energy,Truth,3.2747
Matter,Mind,Truth,4.0707
Logic,Truth,Power,1.0549
Silence,Energy,Power,1.0289
Energy,Mind,Truth,4.1981
Time,Truth,Entropy,4.3426
Chaos,Fractal,Gravity,3.9789
Geometry,Soul,Power,1.4558
Logic,Void,Death,4.1526
Noise,Space,Power,1.0252
Order,Space,Power,1.2000
Fractal,Silence,Chaos,4.1523
Power,Truth,Space,1.3902
Order,Soul,Light,1.7689
Life,Order,Noise,1.0042
Energy,Mind,Truth,4.1981
Light,Space,Power,1.0853
Entropy,Void,Power,1.0247
Geometry,Entropy,Light,1.7234
Noise,Logic,Power,0.8736
Light,Mind,Power,1.2578
Void,Gravity,Chaos,2.2528
Void,Light,Power,0.9016
Silence,Chaos,Beauty,4.2702
Silence,Geometry,Noise,1.5584
Light,Darkness,Power,1.0422
Order,Life,Noise,1.0042
Darkness,Death,Silence,1.2488
Fractal,Time,Gravity,3.7435
Matter,Geometry,Power,1.0253
Power,Soul,Chaos,1.6612
Life,Logic,Truth,4.3725
Energy,Life,Truth,4.0831
Entropy,Chaos,Power,1.9651
Energy,Void,Entropy,3.9529
Darkness,Noise,Power,1.0237
Chaos,Silence,Beauty,4.2702
Fractal,Void,Death,4.0722
Space,Life,Power,0.9829
Geometry,Death,Silence,1.4695
Noise,Soul,Power,1.3820
Fractal,Order,Noise,1.3934
Power,Space,Darkness,1.4353
Order,Chaos,Power,1.0512
Fractal,Gravity,Time,3.7406
Truth,Order,Silence,2.2738
Energy,Chaos,Power,1.0250
Noise,Void,Power,0.9708
Truth,Matter,Power,1.2191
Darkness,Noise,Power,1.0237
Noise,Energy,Power,1.0066
Noise,Void,Power,0.9708
Mind,Chaos,Power,1.0267
Energy,Silence,Power,1.0289
Light,Entropy,Power,1.0597
Beauty,Life,Power,1.0362
Truth,Time,Entropy,4.3426
Energy,Mind,Truth,4.1981
Fractal,Void,Death,4.0722
Chaos,Geometry,Power,1.0226
Power,Noise,Energy,1.3907
Logic,Truth,Power,1.0549
Gravity,Fractal,Time,3.7406
Void,Energy,Entropy,3.9529
Gravity,Matter,Death,1.3929
Soul,Geometry,Power,1.4558
Void,Matter,Time,4.2608
Truth,Chaos,Power,1.1487
Logic,Noise,Power,0.8736
Truth,Gravity,Power,1.3611
Soul,Life,Truth,4.1859
Truth,Entropy,Death,4.3601
Energy,Fractal,Death,2.3485
Truth,Void,Noise,1.7162
Truth,Energy,Power,1.2269
Soul,Fractal,Truth,4.0839
Matter,Light,Power,4.3255
Truth,Soul,Power,1.1040
Chaos,Matter,Silence,1.3590
Light,Darkness,Power,1.0422
Order,Logic,Power,3.0240
Gravity,Space,Power,0.8553
Soul,Death,Power,0.9767
Logic,Death,Silence,2.0096
Logic,Noise,Power,0.8736
Light,Matter,Power,4.3255
Fractal,Energy,Death,2.3485
Soul,Light,Power,1.0254
Power,Silence,Energy,1.3954
Logic,Gravity,Death,2.9788
Fractal,Time,Gravity,3.7435
Energy,Gravity,Power,1.3365
Fractal,Order,Noise,1.3934
Energy,Death,Power,1.2735
Time,Beauty,Death,3.1961
Logic,Energy,Truth,3.8355
Geometry,Space,Power,1.0623
Beauty,Mind,Death,2.1388
Time,Beauty,Death,3.1961
Order,Entropy,Light,2.1936
Logic,Fractal,Death,3.9505
Truth,Chaos,Power,1.1487
Entropy,Order,Light,2.1936
Matter,Order,Power,4.3348
Order,Time,Noise,1.4427
Time,Darkness,Power,1.1298
Silence,Gravity,Chaos,4.2996
Matter,Truth,Power,1.2191
Void,Noise,Power,0.9708
Fractal,Mind,Death,3.9623
Soul,Truth,Power,1.1040
Power,Geometry,Energy,1.4171
Truth,Death,Entropy,4.3976
Mind,Light,Power,1.2578
Mind,Space,Power,1.1365
Geometry,Order,Noise,1.6323
Mind,Beauty,Death,2.1388
Geometry,Logic,Power,1.0082
Logic,Beauty,Chaos,1.9535
Silence,Space,Power,1.0063
Life,Fractal,Truth,3.9896
Matter,Darkness,Power,1.3994
Truth,Energy,Power,1.2269
Truth,Order,Silence,2.2738
Order,Noise,Power,0.7099
Geometry,Darkness,Noise,1.3489
Gravity,Silence,Chaos,4.2996
Entropy,Void,Power,1.0247
Power,Void,Geometry,1.6482
Truth,Mind,Power,1.4494
Space,Power,Darkness,1.4353
Gravity,Power,Soul,1.8128
Fractal,Mind,Death,3.9623
Entropy,Silence,Power,1.0313
Geometry,Mind,Power,1.0250
Beauty,Order,Power,2.9475
Truth,Void,Noise,1.7162
Noise,Life,Power,1.0248
Soul,Chaos,Power,3.3116
Truth,Life,Power,1.1495
Gravity,Fractal,Time,3.7406
Life,Death,Power,1.3842
Order,Time,Noise,1.4427
Order,Time,Noise,1.4427
Geometry,Life,Noise,2.4273
Energy,Power,Space,1.5816
Void,Mind,Truth,4.3523
Life,Noise,Power,1.0248
Order,Space,Power,1.2000
Time,Light,Power,1.0485
Death,Energy,Power,1.2735
Gravity,Life,Chaos,1.8313
Chaos,Silence,Beauty,4.2702
Order,Silence,Power,1.0099
Chaos,Silence,Beauty,4.2702
Death,Beauty,Gravity,2.5503
Gravity,Mind,Death,2.8915
Darkness,Gravity,Power,0.9610
Silence,Time,Chaos,4.3078
Light,Energy,Power,0.7707
Time,Life,Power,0.9508
Space,Truth,Power,0.8807
Death,Geometry,Silence,1.4695
Life,Energy,Truth,4.0831
Power,Space,Darkness,1.4353
Mind,Truth,Power,1.4494
Silence,Light,Power,1.0243
Entropy,Fractal,Gravity,3.3061
Light,Power,Energy,1.3939
Silence,Entropy,Power,1.0313
Darkness,Gravity,Power,0.9610
Silence,Truth,Power,1.0216
Logic,Gravity,Death,2.9788
Chaos,Space,Power,0.7193
Gravity,Space,Power,0.8553
Darkness,Death,Silence,1.2488
Entropy,Chaos,Power,1.9651
Life,Chaos,Power,0.7531
Death,Beauty,Gravity,2.5503
Light,Geometry,Power,1.0509
Noise,Entropy,Death,2.6702
Logic,Geometry,Power,1.0082
Geometry,Gravity,Power,1.2557
Beauty,Geometry,Power,1.3933
Order,Matter,Power,4.3348
Beauty,Logic,Chaos,1.9535
Death,Space,Power,1.0233
Entropy,Beauty,Noise,2.0962
Truth,Gravity,Power,1.3611
Chaos,Truth,Power,1.1487
Truth,Matter,Power,1.2191
Matter,Light,Power,4.3255
Truth,Time,Entropy,4.3426
Darkness,Power,Space,1.4405
Geometry,Mind,Power,1.0250
Noise,Logic,Power,0.8736
Soul,Fractal,Truth,4.0839
Energy,Time,Power,1.0880
Beauty,Noise,Death,2.0715
Space,Matter,Power,1.1011
Order,Fractal,Noise,1.3934
Silence,Gravity,Chaos,4.2996
Logic,Life,Truth,4.3725
Entropy,Beauty,Noise,2.0962
Darkness,Energy,Power,1.3198
Gravity,Energy,Power,1.3365
Noise,Darkness,Power,1.0237
Silence,Matter,Power,1.4272
Time,Silence,Chaos,4.3078
Truth,Soul,Power,1.1040
Entropy,Fractal,Gravity,3.3061
Order,Time,Noise,1.4427
Fractal,Death,Beauty,3.5782
Mind,Light,Power,1.2578
Death,Noise,Beauty,2.4102
Matter,Soul,Truth,4.3716
Void,Mind,Truth,4.3523
Death,Order,Noise,2.6193
Life,Noise,Power,1.0248
Power,Gravity,Soul,1.8128
Beauty,Silence,Chaos,2.7515
Light,Entropy,Power,1.0597
Logic,Order,Power,3.0240
Silence,Time,Chaos,4.3078
Energy,Time,Power,1.0880
Mind,Noise,Death,2.7087
Matter,Mind,Truth,4.0707
Energy,Entropy,Power,1.0467
Matter,Truth,Power,1.2191
Life,Matter,Truth,4.3647
Chaos,Order,Power,1.0512
Power,Truth,Space,1.3902
Order,Energy,Power,1.3437
Power,Order,Energy,1.4731
Light,Space,Power,1.0853
Order,Chaos,Power,1.0512
Life,Silence,Noise,1.5748
Soul,Life,Truth,4.1859
Time,Beauty,Death,3.1961
Entropy,Energy,Power,1.0467
Silence,Space,Power,1.0063
Chaos,Logic,Silence,2.4779
Soul,Fractal,Truth,4.0839
Gravity,Space,Power,0.8553
Noise,Order,Power,0.7099
Soul,Truth,Power,1.1040
Chaos,Logic,Silence,2.4779
Time,Gravity,Fractal,3.7357
Logic,Fractal,Death,3.9505
Entropy,Logic,Power,1.0247
Truth,Beauty,Power,1.1380
Space,Fractal,Power,0.7837
Chaos,Life,Power,0.7531
Energy,Noise,Power,1.0066
Void,Light,Power,0.9016
Entropy,Logic,Power,1.0247
Entropy,Void,Power,1.0247
Void,Truth,Noise,1.7162
Beauty,Entropy,Noise,2.0962
Logic,Light,Power,3.1205
Order,Soul,Light,1.7689
Geometry,Fractal,Power,1.1557
Entropy,Logic,Power,1.0247
Void,Mind,Truth,4.3523
Gravity,Matter,Death,1.3929
Geometry,Logic,Power,1.0082
Soul,Order,Light,1.7689
Power,Chaos,Space,1.4065
Fractal,Darkness,Power,1.1389
Beauty,Logic,Chaos,1.9535
Darkness,Truth,Silence,1.4276
Time,Truth,Entropy,4.3426
Order,Energy,Power,1.3437
Space,Life,Power,0.9829
Logic,Mind,Truth,4.2502
Soul,Chaos,Power,3.3116
Life,Darkness,Power,1.5189
Matter,Noise,Power,0.7258
Fractal,Entropy,Gravity,3.3061
Energy,Chaos,Power,1.0250
Beauty,Logic,Chaos,1.9535
Silence,Entropy,Power,1.0313
Truth,Chaos,Power,1.1487
Silence,Matter,Power,1.4272
Entropy,Power,Space,1.3973
Time,Mind,Noise,2.0089
Gravity,Mind,Death,2.8915
Time,Fractal,Gravity,3.7435
Mind,Noise,Death,2.7087
Space,Geometry,Power,1.0623
Soul,Void,Truth,4.3699
Silence,Death,Chaos,3.1617
Time,Death,Beauty,4.2028
Death,Geometry,Silence,1.4695
Darkness,Entropy,Power,0.7358
Space,Life,Power,0.9829
Logic,Matter,Time,4.0450
Mind,Chaos,Power,1.0267
Silence,Time,Chaos,4.3078
Space,Darkness,Power,0.9519
Void,Death,Silence,1.8691
Time,Energy,Power,1.0880
Chaos,Matter,Silence,1.3590
Time,Power,Space,1.3780
Soul,Gravity,Chaos,4.3995
Darkness,Light,Power,1.0422
Fractal,Mind,Death,3.9623
Order,Void,Chaos,2.6251
Soul,Logic,Truth,4.3758
Soul,Noise,Power,1.3820
Silence,Time,Chaos,4.3078
Chaos,Silence,Beauty,4.2702
Truth,Chaos,Power,1.1487
Space,Geometry,Power,1.0623
Chaos,Space,Power,0.7193
Entropy,Mind,Noise,2.8055
Fractal,Power,Chaos,1.5892
Truth,Entropy,Death,4.3601
Noise,Soul,Power,1.3820
Beauty,Power,Energy,1.3926
Death,Life,Power,1.3842
Death,Geometry,Silence,1.4695
Fractal,Noise,Death,2.2315
Death,Space,Power,1.0233
Light,Beauty,Power,2.6510
Void,Chaos,Silence,1.9427
Truth,Noise,Power,1.0711
Logic,Void,Death,4.1526
Soul,Darkness,Power,1.1775
Life,Void,Entropy,4.0047
Chaos,Truth,Power,1.1487
Time,Life,Power,0.9508
Darkness,Geometry,Noise,1.3489
Logic,Silence,Chaos,2.5902
Time,Matter,Silence,1.3840
Entropy,Time,Death,4.0825
Geometry,Darkness,Noise,1.3489
Death,Gravity,Beauty,3.9932
Darkness,Gravity,Power,0.9610
Time,Logic,Silence,2.9283
Fractal,Life,Truth,3.9896
Darkness,Geometry,Noise,1.3489
Life,Gravity,Chaos,1.8313
Energy,Power,Space,1.5816
Entropy,Order,Light,2.1936
Chaos,Time,Gravity,4.1501
Matter,Logic,Time,4.0450
Light,Geometry,Power,1.0509
Power,Silence,Energy,1.3954
Life,Darkness,Power,1.5189
Space,Soul,Power,0.9293
Life,Death,Power,1.3842
Darkness,Order,Noise,1.5727
Mind,Light,Power,1.2578
Time,Light,Power,1.0485
Beauty,Geometry,Power,1.3933
Noise,Time,Death,1.9642
Void,Chaos,Silence,1.9427
Order,Space,Power,1.2000
Silence,Chaos,Beauty,4.2702
Silence,Time,Chaos,4.3078
Light,Fractal,Power,1.0272
Geometry,Truth,Noise,1.4314
Gravity,Soul,Chaos,4.3995
Power,Time,Space,1.3780
Entropy,Geometry,Light,1.7234
Space,Time,Power,0.7401
Noise,Matter,Power,0.7258
Soul,Death,Power,0.9767
Silence,Soul,Power,1.2595
Time,Energy,Power,1.0880
Gravity,Noise,Death,2.7163
Order,Mind,Power,0.9403
Time,Life,Power,0.9508
Light,Space,Power,1.0853
Power,Death,Energy,1.4392
Soul,Logic,Truth,4.3758
Soul,Power,Chaos,1.6612
Order,Silence,Power,1.0099
Space,Time,Power,0.7401
Truth,Void,Noise,1.7162
Geometry,Matter,Power,1.0253
Space,Soul,Power,0.9293
Geometry,Gravity,Power,1.2557
Beauty,Space,Power,1.0820
Death,Entropy,Time,4.1228
Time,Fractal,Gravity,3.7435
Death,Silence,Chaos,3.1617
Entropy,Noise,Death,2.6702
Gravity,Fractal,Time,3.7406
Logic,Noise,Power,0.8736
Life,Space,Power,0.9829
Noise,Logic,Power,0.8736
Matter,Fractal,Death,3.1484
Space,Logic,Power,1.1225
Darkness,Mind,Power,1.5329
Darkness,Soul,Power,1.1775
Soul,Space,Power,0.9293
Death,Chaos,Silence,3.1158
Space,Power,Darkness,1.4353
Gravity,Mind,Death,2.8915
Void,Silence,Death,2.0930
Truth,Logic,Power,1.0549
Mind,Matter,Truth,4.0707
Beauty,Soul,Power,1.5116
Logic,Beauty,Chaos,1.9535
Matter,Order,Power,4.3348
Energy,Space,Power,1.0709
Chaos,Darkness,Power,0.8423
Mind,Truth,Power,1.4494
Death,Void,Silence,1.8691
Truth,Darkness,Silence,1.4276
Matter,Power,Geometry,1.5908
Matter,Time,Silence,1.3840
Truth,Void,Noise,1.7162
Mind,Soul,Truth,4.3714
Fractal,Darkness,Power,1.1389
Matter,Power,Geometry,1.5908
Death,Mind,Noise,2.4772
Noise,Darkness,Power,1.0237
Mind,Fractal,Death,3.9623
Soul,Geometry,Power,1.4558
Void,Energy,Entropy,3.9529
Mind,Life,Truth,4.3713
Time,Void,Chaos,2.2649
Beauty,Time,Death,3.1961
Power,Logic,Geometry,1.5978
Void,Truth,Noise,1.7162
Entropy,Fractal,Gravity,3.3061
Chaos,Life,Power,0.7531
Order,Fractal,Noise,1.3934
Geometry,Soul,Power,1.4558
Space,Order,Power,1.2000
Death,Life,Power,1.3842
Life,Space,Power,0.9829
Life,Soul,Truth,4.1859
Space,Chaos,Power,0.7193
Geometry,Fractal,Power,1.1557
Space,Void,Power,1.1094
Entropy,Silence,Power,1.0313
Noise,Time,Death,1.9642
Space,Logic,Power,1.1225
Void,Fractal,Death,4.0722
Logic,Geometry,Power,1.0082
Light,Time,Power,1.0485
Power,Beauty,Energy,1.3926
Void,Space,Power,1.1094
Death,Power,Energy,1.4392
